Event_Id,Section,Quantity,Price,Row,Availability
164,542,3,66,20,
164,535,2,66,8,
164,537,4,66,7,
164,528,3,66,7,
164,527,4,66,8,
164,529,4,66,7,
164,536,2,66,9,
164,530,8,66,19,
164,160,2,67,10,
164,121,4,65,29,
164,101,4,65,4,
164,120,2,65,26,
164,162,6,65,4,
164,531,8,67,21,
164,102,4,65,2,
164,137,2,67,28,
164,163,6,67,4,
164,110,2,67,12,
164,154,2,67,6,
164,160,2,67,3,
164,115,6,71,16,
164,538,5,65,1,
164,117,4,70,13,
164,159,5,72,6,
164,159,5,72,7,
164,115,6,72,15,
164,115,8,72,17,
164,120,4,71,18,
164,160,8,71,4,
164,106,5,73,26,
164,344,4,74,3,
164,164,8,74,3,
164,161,4,75,12,
164,161,4,75,12,
164,138,4,76,22,
164,162,6,76,6,
164,140,2,76,26,
164,136,2,77,28,
164,161,10,77,5,
164,131,4,78,27,
164,147,2,78,2,
164,162,23,78,24,
164,161,4,84,7,
164,107,10,79,19,
164,136,2,79,27,
164,135,4,80,19,
164,136,4,80,26,
164,148,8,80,13,
164,120,4,80,25,
164,538,2,82,4,
164,538,4,82,3,
164,107,2,81,11,
164,107,4,81,12,
164,320,3,82,5,
164,130,4,82,25,
164,536,3,84,2,
164,535,3,84,2,
164,533,2,84,3,
164,526,3,84,2,
164,540,3,84,5,
164,537,4,84,3,
164,527,2,84,2,
164,529,2,84,2,
164,530,2,84,5,
164,533,2,84,4,
164,138,4,86,26,
164,344,2,83,3,
164,138,4,83,19,
164,163,10,83,3,
164,145,4,83,14,
164,164,7,84,7,
164,142,4,86,19,
164,123,6,86,27,
164,346,2,86,4,
164,110,2,88,14,
164,155,8,88,31,
164,109,8,88,30,
164,109,6,88,28,
164,143,4,87,16,
164,565,10,87,12,
164,565,10,87,11,
164,506,6,87,9,
164,506,9,87,8,
164,509,3,87,10,
164,509,4,87,7,
164,556,9,87,11,
164,556,4,87,12,
164,509,4,87,8,
164,509,4,87,8,
164,143,4,88,21,
164,117,2,87,2,
164,508,2,88,2,
164,141,5,92,13,
164,120,4,89,13,
164,156,4,91,20,
164,109,5,91,25,
164,108,4,91,23,
164,154,3,91,13,
164,102,6,89,2,
164,108,3,90,13,
164,108,2,90,16,
164,108,2,90,17,
164,142,4,90,21,
164,123,7,91,17,
164,114,2,94,1,
164,109,2,93,23,
164,108,2,93,19,
164,154,3,93,15,
164,101,4,98,12,
164,120,4,92,21,
164,113,2,92,6,
164,136,4,95,23,
164,138,2,95,21,
164,140,4,92,20,
164,125,6,92,28,
164,350,4,92,3,
164,160,2,94,1,
164,350,2,95,3,
164,136,8,95,29,
164,142,4,95,22,
164,164,4,103,11,
164,141,4,98,31,
164,144,8,97,15,
164,117,4,97,27,
164,136,4,97,18,
164,120,4,98,12,
164,129,2,98,14,
164,144,8,98,23,
164,120,8,99,22,
164,130,6,106,18,
164,147,2,100,2,
164,149,2,100,1,
164,143,10,100,26,
164,162,8,108,21,
164,140,4,103,33,
164,100,2,102,3,
164,113,4,102,5,
164,352,3,102,1,
164,163,13,102,2,
164,132,5,102,19,
164,340,6,102,2,
164,316,6,102,2,
164,135,6,103,14,
164,135,2,104,28,
164,102,2,103,1,
164,342,4,104,2,
164,150,2,104,35,
164,145,2,105,4,
164,141,4,105,14,
164,164,2,107,3,
164,156,3,107,13,
164,156,3,107,15,
164,156,3,107,16,
164,139,4,107,32,
164,163,4,108,5,
164,163,3,108,12,
164,164,2,108,10,
164,162,4,108,12,
164,160,4,108,12,
164,161,2,108,5,
164,342,6,107,3,
164,124,4,107,24,
164,156,2,109,12,
164,156,3,109,14,
164,156,2,109,17,
164,159,2,110,8,
164,102,4,110,7,
164,159,2,110,7,
164,158,4,110,8,
164,103,2,110,28,
164,106,2,110,10,
164,159,4,110,27,
164,118,4,112,6,
164,141,6,109,19,
164,119,2,113,2,
164,144,4,110,12,
164,148,4,117,8,
164,122,2,110,15,
164,346,4,112,1,
164,137,2,110,12,
164,348,4,111,4,
164,119,10,111,9,
164,342,4,111,3,
164,318,3,114,5,
164,141,8,114,24,
164,143,5,114,25,
164,326,10,115,3,
164,350,4,118,1,
164,146,8,123,28,
164,146,8,123,29,
164,118,2,122,5,
164,145,3,119,3,
164,143,10,119,24,
164,146,4,127,2,
164,128,5,122,24,
164,320,10,120,1,
164,125,8,120,19,
164,318,10,120,2,
164,121,2,128,7,
164,121,10,124,20,
164,122,4,127,24,
164,128,3,128,22,
164,128,3,131,14,
164,346,5,127,1,
164,132,2,128,17,
164,117,6,129,2,
164,122,8,129,21,
164,316,6,129,3,
164,122,4,133,23,
164,516,22,142,11,
164,516,22,142,12,
164,522,22,142,10,
164,522,22,142,11,
164,137,2,134,17,
164,131,3,134,17,
164,132,3,134,17,
164,135,3,134,17,
164,118,4,134,2,
164,335,2,134,5,
164,348,5,135,1,
164,137,4,137,19,
164,348,8,138,1,
164,126,2,142,8,
164,123,2,138,10,
164,121,4,141,6,
164,140,4,142,9,
164,143,2,144,7,
164,132,3,144,16,
164,135,3,144,16,
164,326,4,144,2,
164,340,5,144,3,
164,131,4,144,16,
164,120,3,154,28,
164,134,6,146,19,
164,133,3,160,24,
164,125,4,152,17,
164,123,6,152,18,
164,124,6,153,14,
164,137,4,154,9,
164,123,4,156,9,
164,120,8,163,29,
164,120,8,163,30,
164,120,8,163,31,
164,129,4,159,8,
164,138,4,159,9,
164,141,2,162,9,
164,137,2,162,14,
164,139,4,162,15,
164,127,3,162,7,
164,127,3,162,8,
164,127,8,160,25,
164,127,4,162,9,
164,127,4,168,19,
164,135,2,169,7,
164,137,4,171,13,
164,138,4,171,13,
164,140,4,171,13,
164,128,3,177,12,
164,129,4,177,11,
164,125,4,178,8,
164,121,2,179,5,
164,141,2,187,10,
164,122,4,187,10,
164,121,3,188,2,
164,124,6,199,10,
164,124,4,199,9,
164,128,4,204,8,
164,139,6,204,11,
164,139,4,204,10,
164,159,6,204,17,
164,146,2,202,1,
164,121,2,224,5,
164,122,4,226,7,
164,139,2,261,5,
164,126,8,295,27,
164,340,4,317,6,
164,128,6,340,6,
164,2002,2,387,B3,
164,123,4,408,5,
164,1330,4,423,5,
164,133,8,485,28,
164,137,6,485,33,
164,139,4,485,32,
164,139,4,485,33,
164,1310,6,574,6,
164,106,2,758,10,
164,146,8,941,30,
164,146,8,941,31,
164,152,2,100,3,
164,138,2,140,33,
164,124,2,150,10,
107,203,1,77,8,
107,236,1,78,20,
107,236,1,78,20,
107,233,1,78,15,
107,237,1,79,30,
107,207,1,83,7,
107,207,1,83,7,
107,237,1,83,11,
107,236,1,83,10,
107,2006,1,87,GA,
107,243,1,88,14,
107,210,1,88,5,
107,203,1,89,1,
107,2005,1,92,GA,
107,2009,13,94,SR,
107,93,1,101,QQ,
107,2006,10,95,GA,
107,242,1,97,10,
107,241,1,99,19,
107,241,1,101,18,
107,241,1,103,17,
107,204,1,102,1,
107,2005,4,102,GA,
107,241,1,105,16,
107,242,1,106,16,
107,0,2,106,48,
107,2009,24,106,GA,
107,203,2,111,9,
107,206,2,115,9,
107,207,1,110,1,
107,2005,12,110,GA,
107,2006,12,110,GA,
107,203,4,116,10,
107,207,2,116,10,
107,238,2,111,28,
107,205,3,118,10,
107,207,2,119,9,
107,233,2,121,14,
107,203,4,121,6,
107,205,4,121,5,
107,206,6,117,10,
107,209,2,118,10,
107,208,4,118,10,
107,239,6,117,46,
107,207,2,123,9,
107,2005,12,119,GA,
107,2009,30,119,GA,
107,241,1,119,3,
107,2006,6,119,GA,
107,210,2,125,7,
107,202,2,125,8,
107,207,4,119,10,
107,203,4,125,9,
107,203,2,125,7,
107,206,4,120,10,
107,204,5,121,10,
107,203,4,127,8,
107,242,2,121,29,
107,205,3,122,9,
107,203,7,122,10,
107,204,2,128,2,
107,209,4,123,9,
107,203,3,124,9,
107,238,2,125,30,
107,2006,18,124,GA,
107,242,10,124,28,
107,207,2,124,1,
107,205,4,124,11,
107,241,6,124,48,
107,209,4,125,8,
107,207,4,125,7,
107,206,4,126,7,
107,212,2,144,8,
107,202,4,127,7,
107,89,8,128,PP,
107,2005,7,128,GA,
107,232,4,128,10,
107,202,3,128,7,
107,209,2,128,6,
107,210,2,129,13,
107,210,2,129,14,
107,204,8,129,7,
107,206,7,130,6,
107,202,6,131,6,
107,238,3,132,5,
107,203,3,132,4,
107,212,2,149,5,
107,243,1,132,4,
107,232,4,132,9,
107,0,2,132,28,
107,90,3,131,RR,
107,92,2,131,SS,
107,243,2,132,38,
107,206,5,132,4,
107,206,4,137,7,
107,206,7,133,3,
107,230,2,145,9,
107,210,2,147,2,
107,94,1,140,XX,
107,90,3,135,NN,
107,227,3,140,5,
107,242,3,151,24,
107,236,3,151,26,
107,212,3,157,11,
107,239,2,157,42,
107,91,4,139,WW,
107,90,3,140,SS,
107,212,4,136,8,
107,237,4,140,30,
107,241,2,140,13,
107,93,2,139,KK,
107,208,4,148,8,
107,241,2,160,44,
107,97,1,152,BB,
107,202,2,160,7,
107,329,3,141,C,
107,87,2,161,UU,
107,201,2,162,6,
107,91,6,143,TT,
107,237,2,147,15,
107,93,2,163,VV,
107,227,3,149,7,
107,242,4,141,22,
107,242,2,164,33,
107,242,2,164,33,
107,242,2,164,34,
107,242,2,164,34,
107,242,2,164,38,
107,243,2,164,35,
107,87,2,164,RR,
107,203,2,164,3,
107,94,1,151,WW,
107,232,4,148,11,
107,206,6,154,6,
107,203,1,167,6,
107,230,2,150,6,
107,87,2,168,TT,
107,239,2,168,38,
107,228,2,148,6,
107,242,4,152,21,
107,201,2,169,5,
107,203,2,169,4,
107,203,2,169,4,
107,0,2,152,8,
107,102,1,153,KK,
107,242,4,153,21,
107,202,2,170,4,
107,202,2,170,5,
107,211,4,162,12,
107,238,2,170,39,
107,239,2,170,37,
107,94,2,153,KK,
107,242,2,171,29,
107,242,2,171,30,
107,242,2,171,30,
107,93,2,155,NN,
107,211,2,154,7,
107,243,2,171,33,
107,243,2,171,34,
107,243,2,171,34,
107,238,2,171,26,
107,203,2,171,5,
107,204,2,171,10,
107,94,1,154,KK,
107,229,2,155,15,
107,202,4,174,15,
107,236,4,159,17,
107,241,2,175,31,
107,204,2,175,6,
107,204,2,175,9,
107,204,2,175,9,
107,204,2,175,9,
107,204,2,175,9,
107,237,2,175,20,
107,237,2,175,20,
107,236,2,175,23,
107,229,1,153,6,
107,238,2,175,23,
107,227,2,157,18,
107,202,3,176,9,
107,202,3,176,9,
107,212,2,158,3,
107,238,1,176,20,
107,205,14,165,7,
107,218,1,159,10,
107,93,4,159,JJ,
107,335,2,160,B,
107,230,2,160,5,
107,341,2,160,C,
107,92,3,161,P P,
107,202,4,179,14,
107,0,2,161,6,
107,90,4,179,XX,
107,237,4,161,6,
107,213,1,162,12,
107,224,2,171,7,
107,205,13,168,7,
107,237,6,159,25,
107,95,1,162,PP,
107,323,2,166,B,
107,243,2,165,10,
107,88,7,162,VV,
107,92,2,162,JJ,
107,241,4,181,44,
107,243,3,181,39,
107,206,6,167,5,
107,242,2,182,26,
107,206,2,182,10,
107,242,2,182,27,
107,237,2,182,19,
107,206,2,182,2,
107,202,3,182,7,
107,226,2,165,9,
107,236,2,182,22,
107,202,4,182,5,
107,203,3,182,3,
107,238,2,182,18,
107,238,2,182,18,
107,238,2,182,18,
107,94,2,182,XX,
107,237,4,166,6,
107,205,12,171,6,
107,212,2,184,15,
107,243,4,184,40,
107,90,3,184,TT,
107,91,4,184,UU,
107,213,1,169,8,
107,214,4,179,10,
107,225,2,168,8,
107,237,2,168,13,
107,94,1,169,VV,
107,215,2,166,15,
107,333,2,178,D,
107,232,2,167,11,
107,204,2,186,5,
107,206,2,186,7,
107,206,2,186,7,
107,206,2,186,8,
107,206,2,186,9,
107,241,4,186,30,
107,205,10,174,6,
107,203,3,186,10,
107,205,3,186,14,
107,333,8,167,F,
107,202,6,188,15,
107,203,4,188,4,
107,335,3,165,F,
107,205,17,176,5,
107,242,4,189,34,
107,333,8,170,G,
107,203,3,189,8,
107,90,3,189,SS,
107,243,4,190,38,
107,329,1,171,D,
107,238,3,190,23,
107,238,3,190,23,
107,89,4,190,VV,
107,87,7,191,XX,
107,243,3,191,36,
107,93,6,182,RR,
107,90,10,172,UU,
107,3,10,172,K,
107,237,2,193,16,
107,237,2,193,16,
107,237,2,193,16,
107,206,2,193,1,
107,238,4,193,24,
107,206,4,193,9,
107,236,3,193,23,
107,211,2,193,10,
107,242,4,193,30,
107,93,2,193,LL,
107,93,2,193,LL,
107,93,2,175,EE,
107,207,2,193,6,
107,238,2,193,13,
107,238,2,193,16,
107,204,3,193,5,
107,93,2,193,PP,
107,93,2,193,PP,
107,206,3,193,8,
107,243,3,193,26,
107,237,2,193,13,
107,237,4,193,27,
107,90,6,194,VV,
107,243,4,194,34,
107,227,8,179,18,
107,0,2,185,11,
107,227,1,179,6,
107,95,2,172,SS,
107,221,3,178,18,
107,211,2,196,9,
107,87,3,196,TT,
107,204,4,197,3,
107,204,4,197,3,
107,204,4,197,4,
107,93,4,197,VV,
107,402,3,188,A,
107,0,2,179,3,
107,414,10,179,C,
107,94,4,187,SS,
107,241,2,179,24,
107,3,8,190,J,
107,214,2,180,12,
107,93,2,184,EE,
107,217,3,182,15,
107,93,2,204,HH,
107,238,4,204,17,
107,212,2,204,6,
107,202,17,204,15,
107,238,2,204,12,
107,238,2,204,12,
107,212,2,204,3,
107,232,2,204,12,
107,237,2,204,10,
107,232,2,204,4,
107,232,2,204,8,
107,93,4,204,TT,
107,236,3,204,18,
107,237,4,204,19,
107,212,2,205,7,
107,237,6,186,3,
107,87,6,206,VV,
107,212,4,207,4,
107,223,3,207,11,
107,229,2,207,7,
107,414,8,187,C,
107,241,23,208,45,
107,202,23,208,13,
107,207,2,208,1,
107,207,2,208,1,
107,87,3,208,PP,
107,87,3,208,PP,
107,230,2,208,2,
107,230,2,208,5,
107,230,2,208,6,
107,212,2,208,4,
107,212,2,208,4,
107,236,4,208,16,
107,207,3,208,6,
107,233,2,208,3,
107,237,2,174,22,
107,227,2,210,1,
107,2,2,190,K,
107,242,2,176,47,
107,226,2,190,15,
107,93,2,190,FF,
107,95,2,190,SS,
107,94,2,190,SS,
107,410,3,204,B,
107,87,6,213,UU,
107,232,2,213,12,
107,158,2,193,LL,
107,242,2,178,45,
107,87,8,214,WW,
107,212,6,214,14,
107,94,6,199,PP,
107,206,7,215,7,
107,207,4,215,5,
107,211,10,195,12,
107,94,3,215,XX,
107,213,4,193,10,
107,203,32,215,13,
107,2,2,215,N,
107,226,6,195,14,
107,94,2,215,LL,
107,94,2,215,LL,
107,87,3,215,NN,
107,87,3,215,NN,
107,209,2,215,14,
107,236,3,215,17,
107,2,2,195,H,
107,237,2,180,18,
107,242,2,180,43,
107,94,2,196,PP,
107,225,5,194,11,
107,229,7,218,13,
107,242,2,182,41,
107,237,2,183,16,
107,238,4,219,16,
107,94,3,219,WW,
107,2,2,219,M,
107,203,31,219,12,
107,4,2,219,F,
107,4,2,219,H,
107,87,7,219,SS,
107,2,2,201,J,
107,236,2,219,9,
107,93,4,219,NN,
107,93,4,219,NN,
107,241,6,219,43,
107,93,2,183,XX,
107,226,2,199,12,
107,211,4,195,10,
107,94,2,200,NN,
107,227,4,201,4,
107,412,2,201,B,
107,93,2,202,FF,
107,331,1,207,C,
107,900,6,204,SR,
107,900,2,204,SR,
107,94,2,204,PP,
107,333,4,208,A,
107,230,6,225,14,
107,227,3,225,1,
107,215,4,199,13,
107,161,4,206,HH,
107,90,4,206,MM,
107,94,4,226,SS,
107,225,2,226,14,
107,225,2,226,14,
107,210,3,226,2,
107,237,2,226,7,
